Site,Article,Article Description,Qty,City,Store Name,Full Tally Name,Store Type,TP / ex GST,Stock Value
A056,250423,Amkette Ergo Laptop Stand 7 Levels,1,Bangalore,J P Nagar,650GR Ergo View Laptop Stand-Grey,Store,759,759
A056,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,Bangalore,J P Nagar,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Store,699,699
A056,256480,Amkette EvoFox Prime Gaming Bundle,1,Bangalore,J P Nagar,998PP EvoFox Prime Gaming Bundle (422-423-658-597),Store,3000,3000
A056,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,Bangalore,J P Nagar,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Store,1349,1349
A056,260085,Amkette Type-C 4 Port USB 3.0 Hub,1,Bangalore,J P Nagar,435BK Type-C 4 Port USB 3.0 Hub Pro,Store,1059,1059
A056,260086,Amkette Type-C 6 in 1 Multiport Hub,1,Bangalore,J P Nagar,436BK Type-C 6 in 1 Multiport Hub,Store,1699,1699
A056,260090,Amkette Xcite Neo Wired Keyboard & Mouse,1,Bangalore,J P Nagar,400PP Xcite Neo Keyboard & Mouse USB,Store,729,729
A057,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,Bangalore,Bel Road,649BK EvoFox Typhoon Laptop Cooling Pad,Store,1399,1399
A058,250421,Amkette Neo Case 14 Multi Pocket GRY,1,Bangalore,Koramangala,146BK NeoCase Sleeve MP 450 14,Store,779,779
A059,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,New Delhi,Airport Terminal 3 International,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Store,699,699
A060,260086,Amkette Type-C 6 in 1 Multiport Hub,1,Bangalore,Marathahalli,436BK Type-C 6 in 1 Multiport Hub,Store,1699,1699
A062,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,Aurangabad,Prozone Mall,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Store,1349,1349
A062,250424,Amkette Primus V2 WL Desktop KB & Mouse,1,Aurangabad,Prozone Mall,419V2 PRIMUS Wireless Desktop V2,Store,999,999
A062,260089,Amkette Xcite Neo Wired USB Keyboard,1,Aurangabad,Prozone Mall,398PP Xcite Neo Keyboard USB,Store,529,529
A064,250417,Amkette 4 Port USB 3.0 Hub BLK,1,New Delhi,East Of Kailash,416PP Super Speed Hub 4 Port USB 3.0,Store,929,929
A064,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,New Delhi,East Of Kailash,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Store,1349,1349
A073,250421,Amkette Neo Case 14 Multi Pocket GRY,2,Bangalore,Banshankari,146BK NeoCase Sleeve MP 450 14,Store,779,1558
A073,260085,Amkette Type-C 4 Port USB 3.0 Hub,1,Bangalore,Banshankari,435BK Type-C 4 Port USB 3.0 Hub Pro,Store,1059,1059
